	yearweek	ACCI	AUTR	INCN	INCU	SUAP	ope_total	inc_grippe	inc_diarrhee	inc_varicelle	has_vacation	temperature_max	temperature_min	temperature_average	total_snow_cm	precipitation_mm
85	201031	67.0	377.0	7.0	94.0	994.0	1539.0	397	8482	1318	1.0	26.0	9.0	17.71	0.0	0.9
86	201031	67.0	377.0	7.0	94.0	994.0	1539.0	397	8482	1318	1.0	26.0	9.0	17.71	0.0	0.9
87	201031	67.0	377.0	7.0	94.0	994.0	1539.0	397	8482	1318	1.0	26.0	9.0	17.71	0.0	0.9
88	201031	67.0	377.0	7.0	94.0	994.0	1539.0	397	8482	1318	1.0	26.0	9.0	17.71	0.0	0.9
89	201032	72.0	378.0	5.0	114.0	961.0	1530.0	0	12975	1180	1.0	26.0	10.0	17.43	0.0	13.1
90	201032	72.0	378.0	5.0	114.0	961.0	1530.0	0	12975	1180	1.0	26.0	10.0	17.43	0.0	13.1
91	201032	72.0	378.0	5.0	114.0	961.0	1530.0	0	12975	1180	1.0	26.0	10.0	17.43	0.0	13.1
92	201032	72.0	378.0	5.0	114.0	961.0	1530.0	0	12975	1180	1.0	26.0	10.0	17.43	0.0	13.1
93	201032	72.0	378.0	5.0	114.0	961.0	1530.0	0	12975	1180	1.0	26.0	10.0	17.43	0.0	13.1
94	201032	72.0	378.0	5.0	114.0	961.0	1530.0	0	12975	1180	1.0	26.0	10.0	17.43	0.0	13.1
95	201032	72.0	378.0	5.0	114.0	961.0	1530.0	0	12975	1180	1.0	26.0	10.0	17.43	0.0	13.1
96	201033	76.0	394.0	3.0	119.0	981.0	1573.0	0	11796	953	1.0	29.0	9.0	18.57	0.0	1.1
97	201033	76.0	394.0	3.0	119.0	981.0	1573.0	0	11796	953	1.0	29.0	9.0	18.57	0.0	1.1
98	201033	76.0	394.0	3.0	119.0	981.0	1573.0	0	11796	953	1.0	29.0	9.0	18.57	0.0	1.1
99	201033	76.0	394.0	3.0	119.0	981.0	1573.0	0	11796	953	1.0	29.0	9.0	18.57	0.0	1.1
100	201033	76.0	394.0	3.0	119.0	981.0	1573.0	0	11796	953	1.0	29.0	9.0	18.57	0.0	1.1
101	201033	76.0	394.0	3.0	119.0	981.0	1573.0	0	11796	953	1.0	29.0	9.0	18.57	0.0	1.1
102	201033	76.0	394.0	3.0	119.0	981.0	1573.0	0	11796	953	1.0	29.0	9.0	18.57	0.0	1.1
103	201034	83.0	378.0	1.0	76.0	1021.0	1559.0	61	10178	1362	1.0	28.0	9.0	17.29	0.0	10.6
104	201034	83.0	378.0	1.0	76.0	1021.0	1559.0	61	10178	1362	1.0	28.0	9.0	17.29	0.0	10.6
105	201034	83.0	378.0	1.0	76.0	1021.0	1559.0	61	10178	1362	1.0	28.0	9.0	17.29	0.0	10.6
106	201034	83.0	378.0	1.0	76.0	1021.0	1559.0	61	10178	1362	1.0	28.0	9.0	17.29	0.0	10.6
107	201034	83.0	378.0	1.0	76.0	1021.0	1559.0	61	10178	1362	1.0	28.0	9.0	17.29	0.0	10.6
108	201034	83.0	378.0	1.0	76.0	1021.0	1559.0	61	10178	1362	1.0	28.0	9.0	17.29	0.0	10.6
109	201034	83.0	378.0	1.0	76.0	1021.0	1559.0	61	10178	1362	1.0	28.0	9.0	17.29	0.0	10.6
110	201035	98.0	371.0	3.0	112.0	1047.0	1631.0	270	9111	415	1.0	24.0	8.0	15.14	0.0	0.0
111	201035	98.0	371.0	3.0	112.0	1047.0	1631.0	270	9111	415	1.0	24.0	8.0	15.14	0.0	0.0
112	201035	98.0	371.0	3.0	112.0	1047.0	1631.0	270	9111	415	1.0	24.0	8.0	15.14	0.0	0.0
113	201036	110.0	311.0	2.0	100.0	1192.0	1715.0	806	6740	63	0.0	24.0	10.0	15.57	0.0	3.9
114	201037	97.0	271.0	4.0	120.0	1248.0	1740.0	820	7531	0	0.0	22.0	6.0	13.0	0.0	0.3
115	201038	111.0	244.0	1.0	121.0	1250.0	1727.0	1915	9429	0	0.0	24.0	5.0	13.43	0.0	4.8
116	201039	120.0	177.0	0.0	111.0	1280.0	1688.0	1734	11658	511	0.0	23.0	6.0	13.71	0.0	4.3
117	201040	95.0	229.0	1.0	138.0	1377.0	1840.0	2528	15429	581	0.0	23.0	11.0	15.43	0.0	6.2
118	201041	109.0	182.0	1.0	103.0	1282.0	1677.0	1704	11967	1243	0.0	18.0	2.0	8.71	0.0	1.1
119	201042	110.0	132.0	4.0	248.0	1276.0	1770.0	4479	11929	1367	1.0	12.0	-1.0	6.43	0.0	0.8
120	201042	110.0	132.0	4.0	248.0	1276.0	1770.0	4479	11929	1367	1.0	12.0	-1.0	6.43	0.0	0.8
121	201043	80.0	114.0	2.0	147.0	1145.0	1488.0	2220	13780	954	1.0	16.0	-0.0	8.86	0.0	2.9
122	201043	80.0	114.0	2.0	147.0	1145.0	1488.0	2220	13780	954	1.0	16.0	-0.0	8.86	0.0	2.9
123	201043	80.0	114.0	2.0	147.0	1145.0	1488.0	2220	13780	954	1.0	16.0	-0.0	8.86	0.0	2.9
124	201043	80.0	114.0	2.0	147.0	1145.0	1488.0	2220	13780	954	1.0	16.0	-0.0	8.86	0.0	2.9
125	201043	80.0	114.0	2.0	147.0	1145.0	1488.0	2220	13780	954	1.0	16.0	-0.0	8.86	0.0	2.9
126	201043	80.0	114.0	2.0	147.0	1145.0	1488.0	2220	13780	954	1.0	16.0	-0.0	8.86	0.0	2.9
127	201043	80.0	114.0	2.0	147.0	1145.0	1488.0	2220	13780	954	1.0	16.0	-0.0	8.86	0.0	2.9
128	201044	116.0	123.0	1.0	123.0	1217.0	1580.0	2198	13499	1953	1.0	17.0	4.0	11.29	0.0	4.6
129	201044	116.0	123.0	1.0	123.0	1217.0	1580.0	2198	13499	1953	1.0	17.0	4.0	11.29	0.0	4.6
130	201044	116.0	123.0	1.0	123.0	1217.0	1580.0	2198	13499	1953	1.0	17.0	4.0	11.29	0.0	4.6
131	201045	133.0	162.0	0.0	112.0	1197.0	1604.0	737	17950	610	0.0	14.0	1.0	8.71	0.0	2.4
132	201046	93.0	97.0	0.0	128.0	1305.0	1623.0	2571	14506	750	0.0	11.0	0.0	5.43	0.0	5.2
133	201047	80.0	106.0	1.0	112.0	1246.0	1545.0	7189	16063	643	0.0	7.0	-4.0	1.0	2.1	8.0
134	201048	79.0	146.0	0.0	112.0	1285.0	1622.0	8864	14926	2465	0.0	2.0	-9.0	-2.86	1.0	3.8
135	201049	108.0	155.0	0.0	110.0	1647.0	2020.0	20445	20331	1857	0.0	5.0	-2.0	0.71	5.0	13.1
136	201050	83.0	194.0	0.0	142.0	1508.0	1927.0	31657	18380	1486	1.0	3.0	-5.0	-1.14	5.6	9.7
137	201050	83.0	194.0	0.0	142.0	1508.0	1927.0	31657	18380	1486	1.0	3.0	-5.0	-1.14	5.6	9.7
138	201051	67.0	185.0	0.0	117.0	1489.0	1858.0	40307	15724	1418	1.0	2.0	-7.0	-1.14	2.4	8.3
139	201051	67.0	185.0	0.0	117.0	1489.0	1858.0	40307	15724	1418	1.0	2.0	-7.0	-1.14	2.4	8.3
140	201051	67.0	185.0	0.0	117.0	1489.0	1858.0	40307	15724	1418	1.0	2.0	-7.0	-1.14	2.4	8.3
141	201051	67.0	185.0	0.0	117.0	1489.0	1858.0	40307	15724	1418	1.0	2.0	-7.0	-1.14	2.4	8.3
